face_id,first_seen,last_seen,visit_count,estimated_age,estimated_gender
eb2a7e8e,2026-03-20T19:47:42,2026-03-20T19:47:42,1,29,Male
b8b66a15,2026-03-20T19:47:43,2026-03-20T19:47:43,1,37,Male
5eb30d96,2026-03-20T19:47:46,2026-03-20T19:47:46,1,37,Male
326c8e64,2026-03-20T19:47:48,2026-03-20T19:47:48,1,32,Male
ff031a7a,2026-03-20T19:47:50,2026-03-20T19:47:50,1,33,Male
ac02e2ff,2026-03-20T19:47:51,2026-03-20T19:47:51,1,30,Female
2ee81d1a,2026-03-20T19:47:52,2026-03-20T19:47:52,1,23,Female
85c617a2,2026-03-20T19:47:53,2026-03-20T19:47:53,1,32,Male
70f205fc,2026-03-20T19:47:54,2026-03-20T19:47:54,1,33,Male
b5ea0a4b,2026-03-20T19:47:55,2026-03-20T19:47:55,1,32,Male
